nx,ny,steps,original_mlups_median,final_pybind11_dpctl_mlups_median,final_percent_of_original
128,128,5000,44.906896,22.11913763254083,49.255547817290314
256,256,5000,100.703576,47.15626602882935,46.8268038751964
384,384,5000,141.487024,53.52415150608148,37.82972458738088
512,512,5000,159.70696,58.390990218889016,36.561330964467054
768,768,5000,128.287976,49.24578814389268,38.38690864052036
1024,1024,5000,129.428864,57.969631503848845,44.78879726847393
