lx,ly,itfin,return_code,mlups
128,128,5000,0,40.021984
256,256,5000,0,109.084632
384,384,5000,0,134.432816
512,512,5000,0,115.070072
768,768,5000,0,135.90904
1024,1024,5000,0,134.486704
