lx,ly,itfin,return_code,mlups
128,128,5000,0,44.906896
256,256,5000,0,100.703576
384,384,5000,0,131.528696
512,512,5000,0,152.381616
768,768,5000,0,128.287976
1024,1024,5000,0,129.428864
