lx,ly,itfin,return_code,mlups
128,128,5000,0,50.655844
256,256,5000,0,113.51296
384,384,5000,0,143.85952
512,512,5000,0,161.94224
768,768,5000,0,124.173472
1024,1024,5000,0,118.399552
